annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20222132;MERCREDI;02/11/2022;02/01/2023;45;7;38;4;26;2;4-7-26-38-45+2;0;11000000;3;68119,9;38;1312,6;437;411,6;1840;58,4;18759;20,6;25285;11,9;267220;4,4;330682;2,2;10;20000;S 4769 9147,E 1174 3637,C 9871 4499,G 8101 9662,J 0709 2420,O 9299 0176,W 3474 2035,Q 1238 6554,K 7692 9001,B 8638 4060;11;12;23;24;47;;11-12-23-24-47;0;131787;299;363;13751;20,2;192356;3;7 228 007;eur;
20222131;LUNDI   ;31/10/2022;31/12/2022;34;25;45;44;4;7;4-25-34-44-45+7;0;10000000;0;193828,3;36;6698,2;359;475,3;2165;47;15818;23,2;35395;8;243267;4,6;578060;2,2;10;20000;F 3557 1988,K 1280 0964,P 3775 0970,E 7716 2842,Q 8553 1789,L 9896 9872,P 4018 9750,N 7025 4366,R 1473 7488,A 8382 9471;1;3;17;18;19;2;1-3-17-18-19;4;79472;432;630,6;16929;41,2;225667;6;7 587 562;eur;
20222130;SAMEDI  ;29/10/2022;29/12/2022;33;28;48;44;26;4;26-28-33-44-48+4;2;1000000;4;58096,8;39;1454,3;340;601,7;1781;68,6;16763;26,2;29700;11,5;266875;5;452755;2,2;10;20000;F 0982 5970,C 0930 9584,O 0718 3374,I 2878 9005,E 7081 0592,L 6370 2493,S 6482 6127,E 9288 3619,P 1589 9210,A 8228 5269;5;8;13;15;43;;5-8-13-15-43;3;53390;462;288,7;18570;18,4;232044;3;7 068 701;eur;
20222129;MERCREDI;26/10/2022;26/12/2022;45;30;4;2;23;5;2-4-23-30-45+5;1;3000000;1;157545,2;43;894,2;286;484,9;1935;42,8;14514;20,5;28411;8,1;215612;4,2;380692;2,2;10;20000;L 8277 3859,D 4951 1848,W 3439 1415,V 4445 0574,G 0596 7075,S 7759 3097,M 7269 0205,E 3703 2411,P 9818 0607,K 2138 5615;2;10;29;30;31;;2-10-29-30-31;1;114723;266;417,5;11407;25;147729;3;2 699 328;eur;
20222128;LUNDI   ;24/10/2022;24/12/2022;43;28;33;37;29;1;28-29-33-37-43+1;0;2000000;2;72219,8;18;1958,5;244;521,1;784;96,9;10101;27;12055;17,6;151391;5,5;202724;2,2;10;20000;T 2137 5834,P 4209 4510,F 4804 7084,N 0787 5593,L 5023 1917,C 5234 4466,R 2067 8811,Q 2179 6552,I 7716 8660,T 3944 5534;1;8;17;24;42;;1-8-17-24-42;2;50000;258;335,5;10072;22,1;129623;3;7 572 542;eur;
20222127;SAMEDI  ;22/10/2022;22/12/2022;12;2;25;35;7;10;2-7-12-25-35+10;1;6000000;3;87517,3;66;970,9;821;281,5;2753;50,1;31894;15,5;33682;11,4;394278;3,8;390361;2,2;10;20000;P 7541 5857,T 1276 6886,H 2266 8013,O 2769 2786,F 1960 1981,Q 6033 8954,G 9306 3735,J 4316 8241,J 5427 7980,G 1668 0700;19;20;26;34;43;;19-20-26-34-43;2;83282;285;647,4;12543;37,8;186774;3;5 075 657;eur;
20222126;MERCREDI;19/10/2022;19/12/2022;35;16;38;46;25;8;16-25-35-38-46+8;0;5000000;0;171241,3;32;6657,4;272;554,2;1492;60,3;11955;27,1;21704;11,6;183371;5,4;374378;2,2;10;20000;P 4786 4412,I 7560 3960,N 4855 0367,G 6347 8799,D 9339 3636,C 0072 7561,O 5283 7666,N 1816 0737,M 9043 1882,F 1467 9435;5;9;21;33;36;;5-9-21-33-36;0;120417;214;550,1;10780;28;153693;3;5 019 287;eur;
20222125;LUNDI   ;17/10/2022;17/12/2022;38;49;20;16;40;2;16-20-38-40-49+2;0;4000000;1;149398,8;12;3038,7;213;617,4;1016;77,3;10609;26,6;15052;14,6;159092;5,4;241952;2,2;10;20000;V 3163 9226,C 8558 5523,R 6966 9132,M 4425 0859,Q 0679 7778,H 9843 3870,G 1814 9682,L 1714 0689,O 2795 6516,Q 8405 4275;29;35;40;45;49;;29-35-40-45-49;2;50449;185;681,1;6698;48,3;96209;3;3 773 918;eur;
20222124;SAMEDI  ;15/10/2022;15/12/2022;31;16;27;24;46;1;16-24-27-31-46+1;0;3000000;2;130449,5;36;1768,8;505;454,8;1760;77,9;21579;22,8;25326;15,1;311590;4,8;358632;2,2;10;20000;N 4862 4918,F 3468 6144,Q 9887 5533,K 8176 5806,S 9506 9033,U 2263 1284,E 9937 0609,N 1412 1402,P 7403 8900,U 9074 1654;23;33;34;40;49;;23-33-34-40-49;1;164062;227;867,3;10506;48,1;165971;3;0 720 972;eur;
20222123;MERCREDI;12/10/2022;12/12/2022;17;44;7;40;39;3;7-17-39-40-44+3;0;2000000;0;167897,3;37;5645,3;263;561,9;1549;57;13461;23,6;25206;9,8;210950;4,6;359687;2,2;10;20000;K 1508 0852,W 3388 4639,A 4967 5841,K 5361 3670,U 2066 5155,M 3224 1703,K 9542 1749,U 6134 2671,N 6093 1198,O 8249 5251;6;7;24;35;46;;6-7-24-35-46;0;118174;185;667,7;8762;36,2;141309;3;0 280 745;eur;
20222122;LUNDI   ;10/10/2022;10/12/2022;19;40;32;13;46;7;13-19-32-40-46+7;1;21000000;1;175798,9;48;893,9;336;460,5;2066;44,7;15608;21,3;33535;7,7;236946;4,3;516673;2,2;10;20000;N 1024 0021,U 7278 2604,V 0245 3835,V 4483 4420,D 0232 9440,V 7165 2754,N 3368 1249,G 9762 1937,B 7557 9166,V 0091 0050;23;24;26;44;49;;23-24-26-44-49;0;132248;170;818,8;9910;36,1;156992;3;7 819 050;eur;
20222121;SAMEDI  ;08/10/2022;08/12/2022;17;20;48;16;34;7;16-17-20-34-48+7;0;20000000;0;236369;52;5655;356;584,5;2881;43,1;20003;22,3;47263;7,3;314064;4,3;720577;2,2;10;20000;A 6550 4671,O 4775 6155,M 3333 0686,K 1762 3910,T 2166 1687,C 8634 4227,L 8507 9053,D 5507 4639,C 9139 1226,F 3707 9914;11;17;24;30;37;;11-17-24-30-37;0;180035;431;395,1;17795;24,6;236581;3;9 314 761;eur;
20222120;MERCREDI;05/10/2022;05/12/2022;32;23;39;35;14;7;14-23-32-35-39+7;0;9000000;3;52955;60;646,2;394;354,9;2108;39,6;14526;20,7;29913;7,8;199272;4,6;523025;2,2;10;20000;B 3350 0004,P 8375 3729,O 8691 8860,R 1124 7892,I 9208 1422,P 8565 5926,B 5752 7297,Q 8752 1657,S 5291 6956,J 7624 2548;9;20;24;41;42;;9-20-24-41-42;1;126711;158;854,3;9207;37,7;148508;3;1 103 103;eur;
20222119;LUNDI   ;03/10/2022;03/12/2022;20;40;31;7;23;1;7-20-23-31-40+1;0;8000000;0;166848,5;33;6290;362;405,7;1273;68,9;15379;20,5;18068;13,6;218279;4,4;230156;2,2;10;20000;F 6942 0899,N 8430 6072,N 1784 7335,L 7122 6911,V 6442 1505,A 8912 8942,K 3907 6756,D 2407 2612,L 7424 8473,M 4825 4480;6;25;33;41;48;;6-25-33-41-48;1;107459;175;713;7528;42,6;113685;3;2 103 615;eur;
20222118;SAMEDI  ;01/10/2022;01/12/2022;8;7;35;36;26;2;7-8-26-35-36+2;0;7000000;2;132998,3;34;1909,5;364;643,3;1901;73,6;19560;25,7;31652;12,3;328914;4,7;436681;2,2;10;20000;W 3319 3445,G 2481 3544,S 9386 5316,G 7708 4568,P 0362 7730,T 2182 6436,I 8826 4152,E 8726 6647,P 7194 1518,F 5628 1882;20;27;39;45;46;;20-27-39-45-46;2;85962;286;715,6;11596;45,3;175862;3;2 749 469;eur;
20222117;MERCREDI;28/09/2022;28/11/2022;12;39;26;14;29;10;12-14-26-29-39+10;0;6000000;7;27510,8;32;1468,8;450;376,7;1488;68;18647;19,5;21207;13,3;258680;4,3;280890;2,2;10;20000;F 7164 1395,A 1338 9913,V 3496 8017,V 0699 5533,V 0841 4996,D 1394 3711,U 7038 0941,D 8526 6281,U 9781 6619,S 8073 7765;10;11;26;42;46;;10-11-26-42-46;3;40444;217;574,4;9639;33,2;147685;3;7 850 083;eur;
20222116;LUNDI   ;26/09/2022;26/11/2022;29;49;35;18;39;1;18-29-35-39-49+1;0;5000000;0;158033,2;21;9362,1;202;688,7;971;85,6;11407;26,2;13927;16,7;164424;5,6;218299;2,2;10;20000;E 3034 3808,C 0251 1980,C 6127 3022,I 5012 8693,P 5640 0429,S 5336 5787,B 2323 9198,J 0844 4720,C 5830 2458,B 6006 5204;1;7;43;47;48;;1-7-43-47-48;0;101845;131;849;7066;40,4;116118;3;8 058 685;eur;
20222115;SAMEDI  ;24/09/2022;24/11/2022;25;6;32;7;4;10;4-6-7-25-32+10;0;4000000;2;129728,4;42;1507,7;507;450,5;2263;60,3;25877;18,9;30878;12,3;363664;4,1;375170;2,2;10;20000;L 5643 8500,W 3302 8244,I 7749 0840,B 1923 3291,A 2493 5282,M 9906 9104,W 3294 3273,E 0419 1180,K 3168 6707,D 9567 3800;5;14;15;38;43;;5-14-15-38-43;1;163774;231;753,8;11854;37,7;192328;3;4 164 285;eur;
20222114;MERCREDI;21/09/2022;21/11/2022;3;12;22;9;37;10;3-9-12-22-37+10;0;3000000;3;61918;56;809,6;667;245,1;1964;49,7;25430;13,8;23319;11,7;295907;3,6;260310;2,2;10;20000;U 9704 5258,A 5520 0232,P 7730 6187,D 1216 0340,C 5129 9683,D 5759 2523,K 9401 5732,A 4523 2482,W 3293 7864,U 2126 3584;5;16;37;39;48;;5-16-37-39-48;0;117430;135;1034;7613;47,1;120377;3;2 413 922;eur;
20222113;LUNDI   ;19/09/2022;19/11/2022;5;7;44;15;33;1;5-7-15-33-44+1;0;2000000;0;150311,8;36;5194,4;387;341,9;1267;62,4;16293;17,4;17038;12,9;212227;4,1;198603;2,2;10;20000;B 1264 4431,J 0323 8330,L 1214 9805,H 1347 7762,G 4443 7785,D 1431 7174,I 7539 3076,A 8415 0181,E 1916 2338,E 2878 0716;8;17;22;36;38;;8-17-22-36-38;2;50000;171;580,9;8085;31,5;120602;3;8 186 908;eur;
20222112;SAMEDI  ;17/09/2022;17/11/2022;12;17;1;20;3;3;1-3-12-17-20+3;4;3500000;8;31319,5;161;379,8;1176;187,5;5142;25,6;37330;12,7;54275;6,7;422222;3,4;512935;2,2;10;20000;P 0800 7509,H 3435 5157,G 6890 1447,C 7902 7758,W 3268 3819,F 0510 8996,F 1826 8532,O 9097 1414,L 9522 1596,U 0064 5538;14;18;19;39;48;;14-18-19-39-48;2;84875;326;564,1;13102;36;195270;3;4 395 503;eur;
20222111;MERCREDI;14/09/2022;14/11/2022;40;10;38;26;45;1;10-26-38-40-45+1;0;6000000;2;98791,2;24;2009,3;283;614,6;1168;88,9;13517;27,6;18404;15,8;213474;5,3;279458;2,2;10;20000;C 1364 4700,C 7563 9299,P 5948 7410,D 9945 1177,E 4688 3977,R 1479 9265,I 0803 2329,Q 0024 7581,N 5779 6480,S 9573 6244;2;12;18;25;36;;2-12-18-25-36;1;124230;314;369,2;12629;23,6;165130;3;0 597 613;eur;
20222110;LUNDI   ;12/09/2022;12/11/2022;4;49;20;7;21;10;4-7-20-21-49+10;0;5000000;1;160854,8;41;957,5;453;312,5;1621;52,2;18658;16,3;20100;11,7;233499;4;230317;2,2;10;20000;H 6082 4051,T 0596 0455,R 6376 1747,M 2961 9264,Q 4424 8639,Q 2646 5514,T 9666 6840,L 3423 9930,M 7160 1472,E 2617 2701;1;2;14;23;25;;1-2-14-23-25;2;52772;236;411;10426;23,9;142073;3;2 957 496;eur;
20222109;SAMEDI  ;10/09/2022;10/11/2022;25;3;8;49;24;5;3-8-24-25-49+5;0;4000000;1;240228,8;75;781,7;606;348,9;3313;38,1;26367;17,2;46825;7,5;359211;3,9;559477;2,2;10;20000;S 5537 9703,G 0891 6280,M 5867 7900,T 6863 7522,N 3773 1264,D 5764 9071,E 8989 6754,L 4212 0470,M 6798 7449,O 5587 0596;3;4;23;32;41;;3-4-23-32-41;0;172375;265;713,4;12432;39,1;195554;3;7 965 547;eur;
20222108;MERCREDI;07/09/2022;07/11/2022;20;35;30;3;29;9;3-20-29-30-35+9;0;3000000;0;176975,1;24;9173,7;283;550,5;1604;58;14418;23,2;25237;10,3;224550;4,5;345798;2,2;10;20000;T 9656 0786,H 4426 3999,E 5966 7991,E 7495 6929,D 6636 0316,J 8693 6694,C 1003 0459,M 2029 8985,B 2873 4264,V 3530 8586;1;21;24;25;34;;1-21-24-25-34;0;121517;173;746,5;8974;37;142784;3;3 479 521;eur;
